,owner,repo,commit_sha,source
0,0xk1h0,PentestGPT,a6edb3053ef1b3e0c36286306bc95cd8e6ceb026,repo_summary.json
1,Abonia1,Context-Based-LLMChatbot,f21f7e157157d235e0b9ddd2fc997a7d33096da1,repo_summary.json
2,AgentJ-WR,Private-GPT-Flask,328bbc320a6dacc1a120cfcaf9c88e0fd001b381,repo_summary.json
3,AgentValley,chromadb-chatbot,48c10aa15ae4c0896fc282c4f1c4efdfccbd53bf,repo_summary.json
4,1Panel-dev,MaxKB,v2,repo_summary.json
5,All-Hands-AI,OpenHands,main,repo_summary.json
6,AntonOsika,gpt-engineer,main,repo_summary.json
7,AstrBotDevs,AstrBot,master,repo_summary.json
8,567-labs,instructor,main,repo_summary.json
9,Aider-AI,aider,7301d4522dd41738a4a3488f51e051766391653b,repo_summary.json
10,BillSchumacher,Auto-GPT,bdd07b18bea674cf756ebfb3a0a8915042d9126f,repo_summary.json
11,Azure-Samples,azure-search-openai-demo,main,repo_summary.json
12,Byaidu,PDFMathTranslate,main,repo_summary.json
13,ChuloAI,BrainChulo,f2d6753177ef9940dcb6994da03fbf5fd323a3b3,repo_summary.json
14,CloudDevStudios,Agent-LLM,f89aaebd761a4d016b8a61ee511330f5ed403fe9,repo_summary.json
15,Codium-ai,pr-agent,41166dc271039f9952c8086005f6c4b242021221,repo_summary.json
16,BlinkDL,RWKV-LM,main,repo_summary.json
17,DLR-RM,stable-baselines3,master,repo_summary.json
18,DanielSmith0831,DocsGPT,6b6737613ad934a28ae4251ffa9716465e6e35dd,repo_summary.json
19,Doriandarko,BabyAGIChatGPT,174491cbbc09d3f6ef0ec511e9e3b94e2615ffa0,repo_summary.json
20,EleutherAI,gpt-neo,master,repo_summary.json
21,EleutherAI,gpt-neox,main,repo_summary.json
22,EmbraceAGI,LocalAGI,f2fd7824ee270b8d45b336366ec885a14b809b8b,repo_summary.json
23,ATheorell,AutoGPTArenaHack,1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,repo_summary.json
24,ExpressGit,langchain-ChatGLM,21035d7706b24956f845c65e1492690abbb07d8b,repo_summary.json
25,FOLLGAD,Godmode-GPT,4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,repo_summary.json
26,GaiZhenbiao,ChuanhuChatGPT,main,repo_summary.json
27,EmbraceAGI,awesome-chatgpt-zh,main,repo_summary.json
28,GreyDGL,PentestGPT,a4e5361d76c880a9cf6f79f12e6cff90c8c01da3,repo_summary.json
29,Haste171,langchain-chatbot,f3999530d57eb8069d8b911024785d82ac5d003d,repo_summary.json
30,InternLM,lmdeploy,d7c28d3dbfdf75c9fed0d00e9784774575e2156c,repo_summary.json
31,Devansh968,Chat-with-Pdf-using-Qdrant-vector-database,771195f36a735a6f4ac1b63edc04661c11a67f3f,repo_summary.json
32,Josh-XT,AGiXT,c1cba14cf62631eb2cc30ca48bde9129a1f67145,repo_summary.json
33,Jerk400,h2ogpt-dev-local,ba56d6471080ec447c7c5347a2d4765ae4dba5b4,repo_summary.json
34,LlamaFamily,Llama-Chinese,main,repo_summary.json
35,MaartenGr,BERTopic,master,repo_summary.json
36,Mintplex-Labs,anything-llm,ebd3a62866e9e17b07a4a973b74329c0297fb78a,repo_summary.json
37,OpenRLHF,OpenRLHF,591b148cc5a829c710078553cc490f178bb4a4af,repo_summary.json
38,Gamma-Software,AppifyAi,1e2a008b29a0a14d590f41056226636dae266931,repo_summary.json
39,NVIDIA,Megatron-LM,main,repo_summary.json
40,OthersideAI,self-operating-computer,main,repo_summary.json
41,REFRIED-BoolEANS,privatgpt-gui,840675927b1ace596dcc2c8ed0f6f483805e33fe,repo_summary.json
42,QuivrHQ,quivr,main,repo_summary.json
43,RayVentura,ShortGPT,stable,repo_summary.json
44,RockChinQ,LangBot,master,repo_summary.json
45,PaddlePaddle,PaddleNLP,587a5cdf97138ac5032b4bb97cf7fc22a038aaf4,repo_summary.json
46,SYSTRAN,faster-whisper,master,repo_summary.json
47,BerriAI,litellm,main,repo_summary.json
48,Significant-Gravitas,AutoGPT,9ef4fab084633e4289226a6dd059a598085ec876,repo_summary.json
49,SolaceDev,pr-agent,5c768572233adb5fb9eadef21a184410b30b5603,repo_summary.json
50,Shaunwei,RealChar,ee36a803e220c8a3f021a61922ea81c59e7242ee,repo_summary.json
51,TheR1D,shell_gpt,main,repo_summary.json
52,StanGirard,quivr,b6f38f7aff5f026eb46a071362c9362e057119df,repo_summary.json
53,TransformerOptimus,SuperAGI,main,repo_summary.json
54,Upsonic,Upsonic,master,repo_summary.json
55,VTSTech,localagi,85ecc246bd50783e9edaa4227493c0ac127912d8,repo_summary.json
56,SaudM,GPT-LMU-APP,882ad9818e49ca004959e17a0f7d2580ebfedb10,repo_summary.json
57,Vidminas,chatdocs-streamlit,cf4053a1b20116fb0d05e64778e3c4c28b902f2a,repo_summary.json
58,abetlen,llama-cpp-python,main,repo_summary.json
59,UKPLab,sentence-transformers,main,repo_summary.json
60,ai8hyf,babyagi,6fcd528a92c80846dbb351f2b7babdd50c38709d,repo_summary.json
61,aigeek0x0,chat-with-multiple-pdfs-streamlit-langchain-faiss-openai,3cc2b0ac1522d6a78a998759ea212052ddefb3b7,repo_summary.json
62,Shubhamsaboo,awesome-llm-apps,main,repo_summary.json
63,alejandro-ao,ask-multiple-pdfs,362e85213a01d73772d5319fb9819e026ecbe8a7,repo_summary.json
64,alexdphan,babyagi-chroma-agent,a5379280e526fd559c49d3b85513a339afc302e5,repo_summary.json
65,arc53,DocsGPT,744d4ebbaf4349444d8d361593c4c04652c6c54b,repo_summary.json
66,amauryfischer,Auto-GPT-WebUI,cea68df18f309b094912bdaa6ce2cd484dca5a13,repo_summary.json
67,arndvs,gpt4-langchain-ingest-api-data-private-chroma-aws,5259ae39cd23892c3d0030b98ae99148fb5b7284,repo_summary.json
68,benjaminearlevans,Chatgpt-babyagi-plugin,771a5ba6e6b69c30020da7a139ccec868b4a3dc7,repo_summary.json
69,bentoml,OpenLLM,5725415eede5865ec6bcb454c4805bb689993c0c,repo_summary.json
70,bigscience-workshop,petals,main,repo_summary.json
71,X-D-Lab,LangChain-ChatGLM-Webui,ef829a28234228761a97541e4ebae9da4f4e6800,repo_summary.json
72,c0sogi,LLMChat,b0fe554ca2327d2dc43dc819934b7973e662ffdb,repo_summary.json
73,camel-ai,camel,71d466d9d67d1d7230ebfa1be6db95f5c53e38d9,repo_summary.json
74,catid,Supercharger-Auto-GPT,2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,repo_summary.json
75,blu3mo,scrapchat,ce78a875399b069d3d5c44c738cb10fb3704c0fd,repo_summary.json
76,chenhunghan,code-review-private-ai,17f00ec43ba35f3914fea322ad84f4b1a888500f,repo_summary.json
77,chidiwilliams,buzz,main,repo_summary.json
78,chinesewebman,doc-chatbot,d17caf9f0414bc7bc802774de1f13c5d746966fb,repo_summary.json
79,chatchat-space,Langchain-Chatchat,bc7f01925fe49c622cf7d6e2540c03fd5a0679e1,repo_summary.json
80,activeloopai,deeplake,main,repo_summary.json
81,codeacme17,examor,891ed727b711c6b59e3c6899f7fa08f0df773c30,repo_summary.json
82,daveshap,ChromaDB_Chatbot_Public,ad7df3a7391c07ab59298e48ac05c24c8698698b,repo_summary.json
83,cpacker,MemGPT,6e2c92e3abda617b9efc96c88b582195579717c8,repo_summary.json
84,davideuler,gpt4-pdf-chatbot-langchain-chromadb,5c0f8daba056483afebf9e8a46a988e07c58ee99,repo_summary.json
85,dory111111,babyagi-streamlit,088aa7376c39d541543a3518df8bd5db46633f51,repo_summary.json
86,dotneet,smart-chatbot-ui,6a07b944b73ca53996a1a06cdf65ab19ed2a19ab,repo_summary.json
87,c121914yu,FastGPT,2ae8d43216d4e6fb739143c3cc12285fed048596,repo_summary.json
88,dotvignesh,PDFChat,bb46824b7835386d39f76cd0c70b427dc42997c9,repo_summary.json
89,edik7333,Auto-GPT-llama-cpp,2b4bf189825c0abe28bf6f020b87921d82636d67,repo_summary.json
90,deepset-ai,haystack,main,repo_summary.json
91,edrickdch,chat-pdf,bf5343fef116a360424245b1c154edc2bac07bfd,repo_summary.json
92,facebookresearch,detr,main,repo_summary.json
93,facebookresearch,DiT,main,repo_summary.json
94,eosphoros-ai,DB-GPT,4b52cfa670fcbb170ea0348e187d4c26e28b0c2b,repo_summary.json
95,facebookresearch,dino,main,repo_summary.json
96,facebookresearch,xformers,main,repo_summary.json
97,fendouai,babyagi_zh,bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,repo_summary.json
98,facebookresearch,vggt,main,repo_summary.json
99,fishaudio,fish-speech,main,repo_summary.json
100,frasergr,anything-llm,5fa61458724fd019a15e243b8db8e71bead950b5,repo_summary.json
101,gabacode,ChatBot-PDF,320476ac687db4ea0e9051b4b25ef6904d3a014d,repo_summary.json
102,goetzrobin,MemGPT,0e8918e79935d24210991d78da09bf0e4c796d2e,repo_summary.json
